providerName,resourceType,completeModeDeletion
Microsoft.AAD,DomainServices,TRUE
Microsoft.AAD,DomainServices / oucontainer,FALSE
Microsoft.Addons,supportProviders,FALSE
Microsoft.ADHybridHealthService,aadsupportcases,FALSE
Microsoft.ADHybridHealthService,addsservices,FALSE
Microsoft.ADHybridHealthService,agents,FALSE
Microsoft.ADHybridHealthService,anonymousapiusers,FALSE
Microsoft.ADHybridHealthService,configuration,FALSE
Microsoft.ADHybridHealthService,logs,FALSE
Microsoft.ADHybridHealthService,reports,FALSE
Microsoft.ADHybridHealthService,servicehealthmetrics,FALSE
Microsoft.ADHybridHealthService,services,FALSE
Microsoft.Advisor,advisorScore,FALSE
Microsoft.Advisor,configurations,FALSE
Microsoft.Advisor,generateRecommendations,FALSE
Microsoft.Advisor,metadata,FALSE
Microsoft.Advisor,recommendations,FALSE
Microsoft.Advisor,suppressions,FALSE
Microsoft.AgFoodPlatform,farmBeats,TRUE
Microsoft.AgFoodPlatform,farmBeats / eventGridFilters,FALSE
Microsoft.AgFoodPlatform,farmBeats / extensions,FALSE
Microsoft.AgFoodPlatform,farmBeatsExtensionDefinitions,FALSE
Microsoft.AlertsManagement,actionRules,TRUE
Microsoft.AlertsManagement,alerts,FALSE
Microsoft.AlertsManagement,alertsList,FALSE
Microsoft.AlertsManagement,alertsMetaData,FALSE
Microsoft.AlertsManagement,alertsSummary,FALSE
Microsoft.AlertsManagement,alertsSummaryList,FALSE
Microsoft.AlertsManagement,migrateFromSmartDetection,FALSE
Microsoft.AlertsManagement,resourceHealthAlertRules,TRUE
Microsoft.AlertsManagement,smartDetectorAlertRules,TRUE
Microsoft.AlertsManagement,smartGroups,FALSE
Microsoft.AnalysisServices,servers,TRUE
Microsoft.AnyBuild,clusters,FALSE
Microsoft.ApiManagement,deletedServices,FALSE
Microsoft.ApiManagement,getDomainOwnershipIdentifier,FALSE
Microsoft.ApiManagement,reportFeedback,FALSE
Microsoft.ApiManagement,service,TRUE
Microsoft.ApiManagement,service / eventGridFilters,FALSE
