Resource,Move Resource Group,Move Subscription
Microsoft.AAD/domainservices,0,0
microsoft.aadiam/diagnosticsettings,0,0
microsoft.aadiam/diagnosticsettingscategories,0,0
microsoft.aadiam/privatelinkforazuread,1,1
microsoft.aadiam/tenants,1,1
Microsoft.Addons/supportproviders,0,0
Microsoft.ADHybridHealthService/aadsupportcases,0,0
Microsoft.ADHybridHealthService/addsservices,0,0
Microsoft.ADHybridHealthService/agents,0,0
Microsoft.ADHybridHealthService/anonymousapiusers,0,0
Microsoft.ADHybridHealthService/configuration,0,0
Microsoft.ADHybridHealthService/logs,0,0
Microsoft.ADHybridHealthService/reports,0,0
Microsoft.ADHybridHealthService/servicehealthmetrics,0,0
Microsoft.ADHybridHealthService/services,0,0
Microsoft.Advisor/configurations,0,0
Microsoft.Advisor/generaterecommendations,0,0
Microsoft.Advisor/metadata,0,0
Microsoft.Advisor/recommendations,0,0
Microsoft.Advisor/suppressions,0,0
Microsoft.AlertsManagement/actionrules,1,1
Microsoft.AlertsManagement/alerts,0,0
Microsoft.AlertsManagement/alertslist,0,0
Microsoft.AlertsManagement/alertsmetadata,0,0
Microsoft.AlertsManagement/alertssummary,0,0
Microsoft.AlertsManagement/alertssummarylist,0,0
Microsoft.AlertsManagement/smartdetectoralertrules,1,1
Microsoft.AlertsManagement/smartgroups,0,0
Microsoft.AnalysisServices/servers,1,1
Microsoft.ApiManagement/reportfeedback,0,0
Microsoft.ApiManagement/service,1,1
Microsoft.AppConfiguration/configurationstores,1,1
Microsoft.AppConfiguration/configurationstores/eventgridfilters,0,0
Microsoft.AppPlatform/spring,1,1
Microsoft.AppService/apiapps,0,0
Microsoft.AppService/appidentities,0,0
Microsoft.AppService/gateways,0,0
Microsoft.Attestation/attestationproviders,1,1
Microsoft.Authorization/classicadministrators,0,0
Microsoft.Authorization/dataaliases,0,0
Microsoft.Authorization/denyassignments,0,0
Microsoft.Authorization/elevateaccess,0,0
Microsoft.Authorization/findorphanroleassignments,0,0
Microsoft.Authorization/locks,0,0
Microsoft.Authorization/permissions,0,0
Microsoft.Authorization/policyassignments,0,0
Microsoft.Authorization/policydefinitions,0,0
Microsoft.Authorization/policysetdefinitions,0,0
Microsoft.Authorization/privatelinkassociations,0,0
Microsoft.Authorization/resourcemanagementprivatelinks,0,0
Microsoft.Authorization/roleassignments,0,0
Microsoft.Authorization/roleassignmentsusagemetrics,0,0
Microsoft.Authorization/roledefinitions,0,0
Microsoft.Automation/automationaccounts,1,1
Microsoft.Automation/automationaccounts/configurations,1,1
Microsoft.Automation/automationaccounts/runbooks,1,1
Microsoft.AVS/privateclouds,1,1
Microsoft.AzureActiveDirectory/b2cdirectories,1,1
Microsoft.AzureActiveDirectory/b2ctenants,0,0
Microsoft.AzureData/datacontrollers,0,0
Microsoft.AzureData/hybriddatamanagers,0,0
Microsoft.AzureData/postgresinstances,0,0
Microsoft.AzureData/sqlinstances,0,0
Microsoft.AzureData/sqlmanagedinstances,0,0
Microsoft.AzureData/sqlserverinstances,0,0
Microsoft.AzureData/sqlserverregistrations,1,1
Microsoft.AzureStack/cloudmanifestfiles,0,0
Microsoft.AzureStack/registrations,1,1
Microsoft.AzureStackHCI/clusters,0,0
Microsoft.Batch/batchaccounts,1,1
Microsoft.Billing/billingaccounts,0,0
Microsoft.Billing/billingperiods,0,0
Microsoft.Billing/billingpermissions,0,0
Microsoft.Billing/billingproperty,0,0
Microsoft.Billing/billingroleassignments,0,0
Microsoft.Billing/billingroledefinitions,0,0
Microsoft.Billing/departments,0,0
Microsoft.Billing/enrollmentaccounts,0,0
Microsoft.Billing/invoices,0,0
Microsoft.Billing/transfers,0,0
Microsoft.BingMaps/mapapis,0,0
Microsoft.BizTalkServices/biztalk,0,0
Microsoft.Blockchain/blockchainmembers,0,0
Microsoft.Blockchain/cordamembers,0,0
Microsoft.Blockchain/watchers,0,0
Microsoft.BlockchainTokens/tokenservices,0,0
Microsoft.Blueprint/blueprintassignments,0,0
Microsoft.Blueprint/blueprints,0,0
Microsoft.BotService/botservices,1,1
Microsoft.Cache/redis,1,1
Microsoft.Cache/redisenterprise,0,0
Microsoft.Capacity/appliedreservations,0,0
Microsoft.Capacity/calculateexchange,0,0
Microsoft.Capacity/calculateprice,0,0
Microsoft.Capacity/calculatepurchaseprice,0,0
Microsoft.Capacity/catalogs,0,0
Microsoft.Capacity/commercialreservationorders,0,0
Microsoft.Capacity/exchange,0,0
Microsoft.Capacity/reservationorders,0,0
Microsoft.Capacity/reservations,0,0
Microsoft.Capacity/resources,0,0
