providerName,resourceType,supportsTags,costReport
Microsoft.AAD,DomainServices,TRUE,TRUE
Microsoft.AAD,DomainServices/oucontainer,FALSE,FALSE
microsoft.aadiam,diagnosticSettings,FALSE,FALSE
microsoft.aadiam,diagnosticSettingsCategories,FALSE,FALSE
Microsoft.Addons,supportProviders,FALSE,FALSE
Microsoft.ADHybridHealthService,aadsupportcases,FALSE,FALSE
Microsoft.ADHybridHealthService,addsservices,FALSE,FALSE
Microsoft.ADHybridHealthService,agents,FALSE,FALSE
Microsoft.ADHybridHealthService,anonymousapiusers,FALSE,FALSE
Microsoft.ADHybridHealthService,configuration,FALSE,FALSE
Microsoft.ADHybridHealthService,logs,FALSE,FALSE
Microsoft.ADHybridHealthService,reports,FALSE,FALSE
Microsoft.ADHybridHealthService,services,FALSE,FALSE
Microsoft.Advisor,configurations,FALSE,FALSE
Microsoft.Advisor,generateRecommendations,FALSE,FALSE
Microsoft.Advisor,recommendations,FALSE,FALSE
Microsoft.Advisor,suppressions,FALSE,FALSE
Microsoft.AlertsManagement,actionRules,FALSE,FALSE
Microsoft.AlertsManagement,alerts,FALSE,FALSE
Microsoft.AlertsManagement,alertsList,FALSE,FALSE
Microsoft.AlertsManagement,alertsSummary,FALSE,FALSE
Microsoft.AlertsManagement,alertsSummaryList,FALSE,FALSE
Microsoft.AlertsManagement,smartDetectorAlertRules,FALSE,FALSE
Microsoft.AlertsManagement,smartDetectorRuntimeEnvironments,FALSE,FALSE
Microsoft.AlertsManagement,smartGroups,FALSE,FALSE
Microsoft.AnalysisServices,servers,TRUE,TRUE
Microsoft.ApiManagement,reportFeedback,FALSE,FALSE
Microsoft.ApiManagement,service,TRUE,TRUE
Microsoft.ApiManagement,validateServiceName,FALSE,FALSE
Microsoft.Attestation,attestationProviders,FALSE,FALSE
Microsoft.Authorization,classicAdministrators,FALSE,FALSE
Microsoft.Authorization,denyAssignments,FALSE,FALSE
Microsoft.Authorization,elevateAccess,FALSE,FALSE
Microsoft.Authorization,locks,FALSE,FALSE
Microsoft.Authorization,permissions,FALSE,FALSE
Microsoft.Authorization,policyAssignments,FALSE,FALSE
Microsoft.Authorization,policyDefinitions,FALSE,FALSE
Microsoft.Authorization,policySetDefinitions,FALSE,FALSE
Microsoft.Authorization,providerOperations,FALSE,FALSE
Microsoft.Authorization,roleAssignments,FALSE,FALSE
Microsoft.Authorization,roleDefinitions,FALSE,FALSE
Microsoft.Automation,automationAccounts,TRUE,TRUE
Microsoft.Automation,automationAccounts/configurations,TRUE,TRUE
Microsoft.Automation,automationAccounts/jobs,FALSE,FALSE
Microsoft.Automation,automationAccounts/runbooks,TRUE,TRUE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,FALSE,FALSE
Microsoft.Automation,automationAccounts/webhooks,FALSE,FALSE
Microsoft.Azure.Geneva,environments,FALSE,FALSE
Microsoft.Azure.Geneva,environments/accounts,FALSE,FALSE
Microsoft.Azure.Geneva,environments/accounts/namespaces,FALSE,FALSE
Microsoft.Azure.Geneva,environments/accounts/namespaces/configurations,FALSE,FALSE
Microsoft.AzureActiveDirectory,b2cDirectories,TRUE,FALSE
Microsoft.AzureStack,registrations,TRUE,TRUE
Microsoft.AzureStack,registrations/customerSubscriptions,FALSE,FALSE
Microsoft.AzureStack,registrations/products,FALSE,FALSE
Microsoft.Batch,batchAccounts,TRUE,TRUE
Microsoft.Billing,billingAccounts,FALSE,FALSE
Microsoft.Billing,billingAccounts/billingProfiles,FALSE,FALSE
Microsoft.Billing,billingAccounts/billingProfiles/billingSubscriptions,FALSE,FALSE
Microsoft.Billing,billingAccounts/billingProfiles/invoices,FALSE,FALSE
Microsoft.Billing,billingAccounts/billingProfiles/invoices/pricesheet,FALSE,FALSE
Microsoft.Billing,billingAccounts/billingProfiles/operationStatus,FALSE,FALSE
